"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: LENGTH"
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,6909450,4.257500,0.116049,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,2.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,4.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,5.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,5.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,6.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,17.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,1050.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,176384.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,6175667,9.175881,0.597834,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,4.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,7.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,10.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,14.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,21.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,105.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,1592.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,210176.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,9464599,166.780291,1.219007,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,99.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,155.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,177.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,188.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,224.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,1184.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,1818.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,350720.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,4931487,2543.202443,4.701872,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,2208.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,2448.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,2596.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,2704.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,3572.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,4664.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,190976.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,381440.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,360731,69073.419030,92.664304,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,65344.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,67328.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,69632.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,70400.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,74496.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,295424.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,313818.521600,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,726016.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,14200,1705668.723380,2336.679427,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,1642496.000000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,1681408.000000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,1722163.200000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,1943552.000000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,1970176.000000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,2158571.520000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,3283271.270400,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,3284992.000000,NaN,"ns/op",16777215
