"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: LENGTH"
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,6527740,3.659780,0.090272,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,3.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,3.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,4.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,5.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,5.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,17.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,1054.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,174080.000000,NaN,"ns/op",15
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,7021000,15.716509,0.444179,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,12.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,14.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,17.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,20.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,23.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,130.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,1580.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,205056.000000,NaN,"ns/op",255
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,5591963,287.897336,1.889840,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,221.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,272.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,293.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,304.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,349.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,1352.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,1960.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,342528.000000,NaN,"ns/op",4095
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,3098411,4049.493075,6.695989,"ns/op",65535
